日期,買入價,股數,成本,期末價,最終市值,獲利,報酬率%
2021-07-26,30.092662811279297,1,30.092662811279297,61.79999923706055,61.79999923706055,31.70733642578125,105.36567210628081
2021-07-27,29.61832618713379,1,29.61832618713379,61.79999923706055,61.79999923706055,32.18167304992676,108.65459731450487
2021-08-16,29.64039421081543,1,29.64039421081543,61.79999923706055,61.79999923706055,32.15960502624512,108.49924868580342
2021-08-18,29.07781219482422,1,29.07781219482422,61.79999923706055,61.79999923706055,32.72218704223633,112.53318104881632
2021-08-19,28.84615707397461,1,28.84615707397461,61.79999923706055,61.79999923706055,32.95384216308594,114.23997338216442
2021-10-03,29.37564849853516,1,29.37564849853516,61.79999923706055,61.79999923706055,32.42435073852539,110.37833169927214
2021-10-04,29.331518173217773,1,29.331518173217773,61.79999923706055,61.79999923706055,32.46848106384277,110.69485347502169
2021-10-05,29.34255599975586,1,29.34255599975586,61.79999923706055,61.79999923706055,32.45744323730469,110.61559612453237
2021-11-29,30.44565773010254,1,30.44565773010254,61.79999923706055,61.79999923706055,31.354341506958008,102.98460879022832
2022-02-06,32.08289337158203,1,32.08289337158203,61.79999923706055,61.79999923706055,29.717105865478516,92.62601574395703
2022-03-06,30.211578369140625,1,30.211578369140625,61.79999923706055,61.79999923706055,31.588420867919922,104.55733388688377
2022-03-07,29.56901741027832,1,29.56901741027832,61.79999923706055,61.79999923706055,32.23098182678223,109.00254607574007
2022-03-08,29.87338638305664,1,29.87338638305664,61.79999923706055,61.79999923706055,31.926612854003906,106.87309582053877
2022-04-11,29.884660720825195,1,29.884660720825195,61.79999923706055,61.79999923706055,31.91533851623535,106.79505052568683
2022-04-18,29.760656356811523,1,29.760656356811523,61.79999923706055,61.79999923706055,32.03934288024902,107.65670789016708
2022-04-24,29.140644073486328,1,29.140644073486328,61.79999923706055,61.79999923706055,32.65935516357422,112.074925596066
2022-04-25,29.140644073486328,1,29.140644073486328,61.79999923706055,61.79999923706055,32.65935516357422,112.074925596066
2022-04-26,28.53190422058105,1,28.53190422058105,61.79999923706055,61.79999923706055,33.26809501647949,116.59963092292334
2022-04-27,28.655906677246094,1,28.655906677246094,61.79999923706055,61.79999923706055,33.14409255981445,115.66234121683594
2022-05-08,28.080982208251957,1,28.080982208251957,61.79999923706055,61.79999923706055,33.719017028808594,120.0777692843658
2022-05-11,27.33696937561035,1,27.33696937561035,61.79999923706055,61.79999923706055,34.463029861450195,126.06748534531269
2022-05-12,27.5849723815918,1,27.5849723815918,61.79999923706055,61.79999923706055,34.21502685546875,124.03502306314202
2022-05-15,27.731521606445312,1,27.731521606445312,61.79999923706055,61.79999923706055,34.068477630615234,122.85109383502815
2022-06-15,27.618793487548828,1,27.618793487548828,61.79999923706055,61.79999923706055,34.18120574951172,123.76067681928747
2022-06-16,27.24678039550781,1,27.24678039550781,61.79999923706055,61.79999923706055,34.553218841552734,126.81578645251437
2022-06-19,26.998781204223636,1,26.998781204223636,61.79999923706055,61.79999923706055,34.801218032836914,128.89921870766773
2022-06-20,27.55115509033203,1,27.55115509033203,61.79999923706055,61.79999923706055,34.248844146728516,124.31001181052757
2022-06-21,26.94241523742676,1,26.94241523742676,61.79999923706055,61.79999923706055,34.85758399963379,129.37809655316929
2022-06-22,26.58168029785156,1,26.58168029785156,61.79999923706055,61.79999923706055,35.218318939208984,132.49094317809352
2022-06-23,26.638044357299805,1,26.638044357299805,61.79999923706055,61.79999923706055,35.16195487976074,131.99901016804588
2022-06-30,25.15001106262207,1,25.15001106262207,61.79999923706055,61.79999923706055,36.64998817443848,145.72553500347226
2022-07-03,24.902006149291992,1,24.902006149291992,61.79999923706055,61.79999923706055,36.897993087768555,148.17277317561675
2022-07-04,25.0260066986084,1,25.0260066986084,61.79999923706055,61.79999923706055,36.77399253845215,146.94310994688982
2022-07-05,24.541269302368164,1,24.541269302368164,61.79999923706055,61.79999923706055,37.25872993469238,151.82071259491462
2022-07-06,25.274015426635746,1,25.274015426635746,61.79999923706055,61.79999923706055,36.525983810424805,144.51990787317018
2022-08-31,26.424325942993164,1,26.424325942993164,61.79999923706055,61.79999923706055,35.37567329406738,133.87540469484637
2022-09-01,26.13747978210449,1,26.13747978210449,61.79999923706055,61.79999923706055,35.662519454956055,136.4420738045795
2022-09-04,26.194847106933597,1,26.194847106933597,61.79999923706055,61.79999923706055,35.60515213012695,135.92426015994005
2022-09-05,26.36695671081543,1,26.36695671081543,61.79999923706055,61.79999923706055,35.43304252624512,134.38427086926902
2022-09-06,25.74736785888672,1,25.74736785888672,61.79999923706055,61.79999923706055,36.05263137817383,140.02453212214562
2022-09-07,25.93094825744629,1,25.93094825744629,61.79999923706055,61.79999923706055,35.86905097961426,138.32525761688703
2022-09-20,25.72442054748535,1,25.72442054748535,61.79999923706055,61.79999923706055,36.075578689575195,140.23864453227384
2022-09-21,25.41462516784668,1,25.41462516784668,61.79999923706055,61.79999923706055,36.38537406921387,143.16706946851545
2022-09-22,25.173673629760746,1,25.173673629760746,61.79999923706055,61.79999923706055,36.626325607299805,145.49455969747513
2022-09-25,24.7032470703125,1,24.7032470703125,61.79999923706055,61.79999923706055,37.09675216674805,150.1695386892261
2022-09-26,24.6688232421875,1,24.6688232421875,61.79999923706055,61.79999923706055,37.13117599487305,150.51863491961385
2022-09-27,24.152502059936523,1,24.152502059936523,61.79999923706055,61.79999923706055,37.64749717712402,155.87410813048893
2022-09-28,24.07218360900879,1,24.07218360900879,61.79999923706055,61.79999923706055,37.72781562805176,156.72784920904508
2022-09-29,23.73943901062012,1,23.73943901062012,61.79999923706055,61.79999923706055,38.06056022644043,160.32628323446727
2022-10-02,23.452592849731445,1,23.452592849731445,61.79999923706055,61.79999923706055,38.3474063873291,163.5103062293951
2022-10-03,24.049236297607425,1,24.049236297607425,61.79999923706055,61.79999923706055,37.750762939453125,156.9728139068134
2022-10-12,22.718265533447266,1,22.718265533447266,61.79999923706055,61.79999923706055,39.08173370361328,172.02780575865125
2022-10-16,22.936267852783203,1,22.936267852783203,61.79999923706055,61.79999923706055,38.863731384277344,169.44226337835264
2022-10-18,22.8903751373291,1,22.8903751373291,61.79999923706055,61.79999923706055,38.909624099731445,169.98246584556196
2022-10-19,22.764158248901367,1,22.764158248901367,61.79999923706055,61.79999923706055,39.03584098815918,171.4793956418007
2022-10-24,22.190465927124023,1,22.190465927124023,61.79999923706055,61.79999923706055,39.60953330993652,178.49797944765407
2022-10-25,22.396995544433597,1,22.396995544433597,61.79999923706055,61.79999923706055,39.40300369262695,175.9298635143048
2022-12-19,25.31136131286621,1,25.31136131286621,61.79999923706055,61.79999923706055,36.488637924194336,144.15912867415202
2022-12-20,25.41462516784668,1,25.41462516784668,61.79999923706055,61.79999923706055,36.38537406921387,143.16706946851545
2023-04-19,27.899070739746094,1,27.899070739746094,61.79999923706055,61.79999923706055,33.90092849731445,121.51275149468646
2023-04-20,27.82867813110352,1,27.82867813110352,61.79999923706055,61.79999923706055,33.97132110595703,122.0730677393836
2023-04-23,27.72308921813965,1,27.72308921813965,61.79999923706055,61.79999923706055,34.0769100189209,122.9188772967763
2023-04-24,27.359390258789062,1,27.359390258789062,61.79999923706055,61.79999923706055,34.440608978271484,125.8822241742307
