Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock_id,market
1993-01-05 00:00:00+08:00,0.3772047460079193,0.38433641148735154,0.37482734984644034,0.3772047460079193,33478780,0.0,0.0,2317,TW
1993-01-06 00:00:00+08:00,0.376411982080246,0.376411982080246,0.36769521033061775,0.3708648979663849,46846584,0.0,0.0,2317,TW
1993-01-07 00:00:00+08:00,0.37086489076962814,0.37641197477584626,0.3676952031953698,0.36928030848503113,44447315,0.0,0.0,2317,TW
1993-01-08 00:00:00+08:00,0.3740345790598409,0.3740345790598409,0.35501596133782626,0.35818564891815186,43699448,0.0,0.0,2317,TW
1993-01-11 00:00:00+08:00,0.35739338178867897,0.36611015397154684,0.35739338178867897,0.3605630695819855,14068903,0.0,0.0,2317,TW
1993-01-12 00:00:00+08:00,0.35897846237989717,0.3692803084850311,0.35897846237989717,0.36928030848503113,20191482,0.0,0.0,2317,TW
1993-01-13 00:00:00+08:00,0.3684874356493782,0.37641191482543945,0.3645254575638381,0.37641191482543945,22679594,0.0,0.0,2317,TW
1993-01-14 00:00:00+08:00,0.379582134733398,0.3867137693081215,0.3764119245768605,0.3859214782714844,49678863,0.0,0.0,2317,TW
1993-01-15 00:00:00+08:00,0.3882988803481304,0.3914685675483392,0.3772047444098987,0.3803744316101074,45700098,0.0,0.0,2317,TW
1993-01-18 00:00:00+08:00,0.3787893281122355,0.3803744332215564,0.3764119319507565,0.3772047460079193,35367661,0.0,0.0,2317,TW
1993-01-19 00:00:00+08:00,0.3772047444098987,0.3867137752455248,0.3772047444098987,0.3803744316101074,38661738,0.0,0.0,2317,TW
1993-01-20 00:00:00+08:00,0.3803744316101075,0.3803744316101075,0.3803744316101075,0.3803744316101074,0,0.0,0.0,2317,TW
1993-01-21 00:00:00+08:00,0.3803744316101075,0.3803744316101075,0.3803744316101075,0.3803744316101074,0,0.0,0.0,2317,TW
1993-01-22 00:00:00+08:00,0.3803744316101075,0.3803744316101075,0.3803744316101075,0.3803744316101074,0,0.0,0.0,2317,TW
1993-01-25 00:00:00+08:00,0.3803744316101075,0.3803744316101075,0.3803744316101075,0.3803744316101074,0,0.0,0.0,2317,TW
1993-01-26 00:00:00+08:00,0.3803744316101075,0.3803744316101075,0.3803744316101075,0.3803744316101074,0,0.0,0.0,2317,TW
1993-01-27 00:00:00+08:00,0.38195950594771294,0.3875065892993289,0.3803744316101075,0.3803744316101074,87604980,0.0,0.0,2317,TW
1993-01-28 00:00:00+08:00,0.38433646176568187,0.386713827473164,0.38037448298158644,0.38195955753326416,35901758,0.0,0.0,2317,TW
1993-01-29 00:00:00+08:00,0.37641186758821704,0.3811666590981548,0.3724498899998791,0.37958207726478577,32853496,0.0,0.0,2317,TW
1993-02-01 00:00:00+08:00,0.3906764455066991,0.3946384254696673,0.38433657612364314,0.3922610282897949,83501550,0.0,0.0,2317,TW
1993-02-02 00:00:00+08:00,0.392260861292854,0.3954310715198517,0.3867137779031171,0.3954310715198517,72765543,0.0,0.0,2317,TW
1993-02-03 00:00:00+08:00,0.39622335513962414,0.4081097819853148,0.3946382500558671,0.40414780378341675,160905793,0.0,0.0,2317,TW
1993-02-04 00:00:00+08:00,0.4041478455251062,0.4041478455251062,0.39622339606285095,0.39622339606285095,71910466,0.0,0.0,2317,TW
1993-02-05 00:00:00+08:00,0.4041478059035989,0.41207228535396356,0.400185335440917,0.40810978412628174,65732003,0.0,0.0,2317,TW
